Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;1;15,15800203;21,98019437;6,786158781;7,154346783;6,428777811;6,781645562;9,542795734;14,71559227
67388;2;19,94684781;28,92436557;6,038398831;6,366016571;5,030226404;5,306329379;10,03179557;15,50158632
67388;3;22,95517628;33,28665846;5,677768253;5,985819717;4,463935976;4,708955962;10,30867415;15,94902905
67388;4;25,12752457;36,4367199;5,451735993;5,747523912;4,145544652;4,373088527;10,49745953;16,25509385
67388;5;26,80752497;38,87284144;5,292087231;5,57921329;3,938349283;4,154520459;10,63810242;16,48360983
67388;6;28,16176297;40,83658404;5,171235874;5,451805054;3,791756361;3,99988123;10,74849257;16,66326182
67388;7;29,28429731;42,46433966;5,075505087;5,350880323;3,682268011;3,884383198;10,83815844;16,80937097
67388;8;30,23363696;43,84095052;4,997201615;5,268328439;3,597337874;3,794791351;10,91276399;16,93106549
67388;9;31,04872244;45,02288314;4,931605875;5,199173754;3,529597441;3,723332728;10,97594354;17,03421386
67388;10;31,75680176;46,04964915;4,875632594;5,140163602;3,474407604;3,665113588;11,03016484;17,12280739
67388;11;32,37769387;46,94998742;4,827164276;5,0890656;3,428688392;3,616884904;11,07717838;17,19968123
67388;12;32,92626606;47,74545658;4,784690547;5,044287427;3,390307408;3,576397235;11,11826984;17,26692026
67388;13;33,41395591;48,45264198;4,747099846;5,004657216;3,357737293;3,542039386;11,15441074;17,32610151
67388;14;33,84974932;49,0845738;4,713552635;4,969289876;3,329852869;3,51262442;11,18635276;17,37844634
67388;15;34,24083266;49,65167281;4,683400829;4,937502162;3,305805423;3,487257039;11,2146893;17,4249196
67388;16;34,59304148;50,16240096;4,656134714;4,908756704;3,284941733;3,465248167;11,23989685;17,46629662
67388;17;34,91117753;50,62372114;4,631346889;4,882623998;3,266750221;3,446058145;11,26236381;17,50320976
67388;18;35,19923799;51,04142955;4,60870711;4,858755881;3,25082411;3,42925787;11,2824109;17,53618143
67388;19;35,46058448;51,42040077;4,587944341;4,836866612;3,236835613;3,41450156;11,30030603;17,56564821
67388;20;35,69807003;51,76477193;4,568833673;4,816719081;3,224517445;3,401507264;11,31627528;17,59197868
67388;21;35,91413589;52,07808298;4,551186634;4,798114589;3,21364935;3,390042632;11,3305112;17,61548682
67388;22;36,11088634;52,36338529;4,534843879;4,780885146;3,20404809;3,379914371;11,34317915;17,63644233
67388;23;36,29014735;52,62332667;4,519669612;4,764887588;3,195559917;3,370960292;11,35442219;17,65507859
67388;24;36,45351307;52,86021872;4,505547258;4,749999016;3,188054818;3,363043247;11,36436491;17,67159892
67388;25;36,60238292;53,07609073;4,492376083;4,736113229;3,181422072;3,356046438;11,37311654;17,68618153
67388;26;36,73799171;53,27273324;4,480068504;4,723137894;3,175566774;3,34986975;11,38077335;17,69898353
67388;27;36,86143409;53,45173357;4,468547955;4,710992289;3,170407088;3,344426856;11,38742063;17,71014415
67388;28;36,97368466;53,61450498;4,457747148;4,699605476;3,165872063;3,339642909;11,39313435;17,71978733
67388;29;37,07561464;53,7623108;4,44760667;4,688914818;3,16189987;3,335452687;11,39798244;17,72802394
67388;30;37,16800575;53,89628456;4,438073828;4,678864766;3,158436375;3,331799085;11,40202591;17,73495353
67388;31;37,25156182;54,01744688;4,429101697;4,669405845;3,155433976;3,328631887;11,40531975;17,74066587
