Cow;Group;Station;Milk_amount;Time;Duration;Milking_days;Lactation_number;Birth_date;Last_insemination_date;Is_pregnant;Expected_calving_date;Milking_session;Konteineris;Eil. Nr.;Knygelė;Fat_lab;Protein_lab;Lactose_lab;Urea_lab;SSC_lab;PH_lab;Notes;Date;Age;FP_ratio
67388;1;3;16,35;2021-08-29 11:55:24;441;10;5;2015-11-06;;0;;Pietinis;8307;26;26;6,2;3,79;4,43;33;558;6,42;;2021-08-29;5;
67388;1;3;22,14;2021-08-31 04:22:13;560;12;5;2015-11-06;;0;;Rytinis;5003;41;41;5,09;3,93;4,37;39;351;6,52;;2021-08-31;5;
67388;1;3;17,25;2021-10-06 18:12:30;460;49;5;2015-11-06;;0;;Vakarinis;24434;59;59;4,44;3,12;4,55;22;39;6,57;;2021-10-06;5;
67388;3;3;15,42;2021-10-18 19:35:34;420;61;5;2015-11-06;2021-10-12 00:00:00;0;;Vakarinis;7896;6;6;4,07;3,17;4,59;31;38;6,7;;2021-10-18;5;
67388;3;3;25,13;2021-10-22 05:54:00;593;64;5;2015-11-06;2021-10-12 00:00:00;0;;Rytinis;15176;45;45;3,14;3,15;4,57;25;12;6,64;;2021-10-22;5;
67388;3;3;20,23;2021-11-08 12:53:13;620;81;5;2015-11-06;2021-10-12 00:00:00;0;;Pietinis;18629;62;62;5,57;3,15;4,57;35;38;6,61;;2021-11-08;6;
67388;3;5;25,06;2021-11-14 05:37:25;615;87;5;2015-11-06;2021-10-12 00:00:00;0;;Rytinis;18620;72;72;3,6;3,18;4,59;23;26;6,6;;2021-11-14;6;
67388;3;5;24,25;2021-11-25 05:36:39;647;98;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;26987;23;23;3,64;3,45;4,66;20;197;6,65;;2021-11-25;6;
67388;3;5;24,53;2021-11-26 05:36:24;606;99;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;24350;80;80;3,72;3,3;4,45;25;28;6,68;;2021-11-26;6;
67388;5;5;14,51;2021-12-14 15:11:06;409;117;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;17922;53;53;4,41;3,65;4,57;50;67;6,48;;2021-12-14;6;
67388;5;5;9,77;2021-12-18 08:03:52;348;121;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;3510;28;28;6,9;3,49;4,29;28;56;6,64;;2021-12-18;6;
67388;5;5;8,92;2021-12-22 21:22:38;272;126;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Vakarinis;4392;72;72;4,72;3,27;4,65;19;60;6,66;;2021-12-22;6;
67388;5;5;16,86;2021-12-29 08:07:18;495;132;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;6185;21;21;4,23;3,67;4,73;17;29;6,62;;2021-12-29;6;
67388;5;5;14,23;2022-01-13 14:51:37;339;147;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;14442;72;72;4,86;3,7;4,55;37;62;6,51;;2022-01-13;6;
67388;5;5;20,62;2022-01-19 08:05:40;532;153;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;12150;1;1;3,69;3,61;4,53;17;42;6,65;;2022-01-19;6;
67388;5;5;14,91;2022-01-19 15:16:51;364;154;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;12150;20;20;4,48;3,51;4,49;24;63;6,63;;2022-01-19;6;
67388;5;5;13,64;2022-01-20 21:54:34;333;155;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Vakarinis;22679;33;33;5,46;3,74;4,42;30;66;6,62;;2022-01-20;6;
67388;5;5;22,42;2022-01-24 08:27:12;461;158;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;27832;56;56;3,93;3,62;4,47;21;21;6,66;;2022-01-24;6;
67388;5;5;13,76;2022-01-24 15:23:00;384;158;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;6262;13;13;5,24;3,68;4,57;41;48;6,54;;2022-01-24;6;
67388;5;5;13,39;2022-01-27 15:16:26;331;161;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;23991;25;25;5,37;3,65;4,53;37;52;6,51;;2022-01-27;6;
67388;5;5;12,38;2022-01-29 15:14:14;308;163;5;2015-11-06;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;12300;69;69;5,73;3,78;4,58;57;69;6,44;;2022-01-29;6;
