index;Date;Cow;Milk_amount;Duration;Group;Milking_days;Lactation_number;Birth_date;Last_insemination_date;Is_pregnant;Expected_calving_date;Age
7030;2021-08-22;67388;32,34;1064;1;3;5;2015-11-06;;0;;5
7457;2021-08-23;67388;37,04;1674;1;4;5;2015-11-06;;0;;5
7878;2021-08-25;67388;42,93;1287;1;6;5;2015-11-06;;0;;5
8309;2021-08-26;67388;45,2;1167;1;7;5;2015-11-06;;0;;5
8724;2021-08-27;67388;46,01;1293;1;8;5;2015-11-06;;0;;5
9155;2021-08-28;67388;48,53;1279;1;9;5;2015-11-06;;0;;5
9587;2021-08-29;67388;49,09;1252;1;10;5;2015-11-06;;0;;5
10008;2021-08-30;67388;50,69;1349;1;11;5;2015-11-06;;0;;5
10440;2021-08-31;67388;51,01;1375;1;12;5;2015-11-06;;0;;5
10868;2021-09-01;67388;50,95;1299;1;13;5;2015-11-06;;0;;5
11297;2021-09-02;67388;53,52;1367;1;14;5;2015-11-06;;0;;5
11633;2021-09-03;67388;54,61;1287;1;15;5;2015-11-06;;0;;5
11876;2021-09-04;67388;51,42;1407;1;16;5;2015-11-06;;0;;5
12278;2021-09-05;67388;56;1424;1;17;5;2015-11-06;;0;;5
12697;2021-09-06;67388;52,09;1440;1;18;5;2015-11-06;;0;;5
13128;2021-09-08;67388;56,7;1399;1;20;5;2015-11-06;;0;;5
13517;2021-09-09;67388;56,67;1484;1;21;5;2015-11-06;;0;;5
13933;2021-09-10;67388;54,57;1370;1;22;5;2015-11-06;;0;;5
14350;2021-09-11;67388;54,58;1486;1;23;5;2015-11-06;;0;;5
14766;2021-09-12;67388;50,44;1420;1;24;5;2015-11-06;;0;;5
15189;2021-09-14;67388;47,91;1094;1;26;5;2015-11-06;;0;;5
16045;2021-09-16;67388;54,96;1306;1;28;5;2015-11-06;;0;;5
16473;2021-09-17;67388;57,2;1413;1;29;5;2015-11-06;;0;;5
16897;2021-09-18;67388;57,24;1318;1;30;5;2015-11-06;;0;;5
17307;2021-09-19;67388;57,71;1537;1;31;5;2015-11-06;;0;;5
17718;2021-09-20;67388;56,96;1465;1;32;5;2015-11-06;;0;;5
18137;2021-09-21;67388;59,38;1459;1;33;5;2015-11-06;;0;;5
18545;2021-09-22;67388;55,56;1484;1;34;5;2015-11-06;;0;;5
18962;2021-09-23;67388;61,72;1640;1;35;5;2015-11-06;;0;;5
19384;2021-09-24;67388;55,43;1598;1;36;5;2015-11-06;;0;;5
19795;2021-09-25;67388;57,32;1731;1;37;5;2015-11-06;;0;;5
20176;2021-09-26;67388;60,76;1807;1;38;5;2015-11-06;;0;;5
21392;2021-09-29;67388;56,57;1438;1;41;5;2015-11-06;;0;;5
21804;2021-09-30;67388;57,57;1593;1;42;5;2015-11-06;;0;;5
22209;2021-10-01;67388;60,55;1730;1;43;5;2015-11-06;;0;;5
22626;2021-10-03;67388;60,12;1691;1;45;5;2015-11-06;;0;;5
23040;2021-10-04;67388;47,58;1276;1;46;5;2015-11-06;;0;;5
23435;2021-10-05;67388;58,66;1532;1;47;5;2015-11-06;;0;;5
23850;2021-10-06;67388;59,63;1680;1;48;5;2015-11-06;;0;;5
24244;2021-10-07;67388;60,44;1654;1;49;5;2015-11-06;;0;;5
24641;2021-10-08;67388;53,42;1177;1;50;5;2015-11-06;;0;;5
25043;2021-10-09;67388;62,12;1698;1;51;5;2015-11-06;;0;;5
25452;2021-10-10;67388;58,98;1478;1;52;5;2015-11-06;;0;;5
25874;2021-10-12;67388;55,38;1528;1;54;5;2015-11-06;2021-10-12 00:00:00;0;;5
26293;2021-10-13;67388;49,23;1486;1;55;5;2015-11-06;2021-10-12 00:00:00;0;;5
26713;2021-10-14;67388;51,42;1542;1;56;5;2015-11-06;2021-10-12 00:00:00;0;;5
27134;2021-10-15;67388;55,41;1525;1;57;5;2015-11-06;2021-10-12 00:00:00;0;;5
27547;2021-10-16;67388;60,21;1430;3;58;5;2015-11-06;2021-10-12 00:00:00;0;;5
27953;2021-10-17;67388;56,24;1649;3;59;5;2015-11-06;2021-10-12 00:00:00;0;;5
28365;2021-10-18;67388;57,96;1629;3;60;5;2015-11-06;2021-10-12 00:00:00;0;;5
28764;2021-10-19;67388;56,86;1524;3;61;5;2015-11-06;2021-10-12 00:00:00;0;;5
29180;2021-10-20;67388;60,72;1825;3;62;5;2015-11-06;2021-10-12 00:00:00;0;;5
29591;2021-10-21;67388;60,73;1545;3;63;5;2015-11-06;2021-10-12 00:00:00;0;;5
30003;2021-10-22;67388;59,57;1309;3;64;5;2015-11-06;2021-10-12 00:00:00;0;;5
30413;2021-10-23;67388;60,61;1820;3;65;5;2015-11-06;2021-10-12 00:00:00;0;;5
30816;2021-10-24;67388;58,71;1598;3;66;5;2015-11-06;2021-10-12 00:00:00;0;;5
31226;2021-10-25;67388;53,77;1613;3;67;5;2015-11-06;2021-10-12 00:00:00;0;;5
31626;2021-10-26;67388;45,85;1617;3;68;5;2015-11-06;2021-10-12 00:00:00;0;;5
32042;2021-10-27;67388;51,3;1304;3;69;5;2015-11-06;2021-10-12 00:00:00;0;;5
32449;2021-10-28;67388;54,36;1548;3;70;5;2015-11-06;2021-10-12 00:00:00;0;;5
32853;2021-10-29;67388;51,41;1335;3;71;5;2015-11-06;2021-10-12 00:00:00;0;;5
33266;2021-10-30;67388;48,08;1398;3;72;5;2015-11-06;2021-10-12 00:00:00;0;;5
33656;2021-10-31;67388;46,29;1296;3;73;5;2015-11-06;2021-10-12 00:00:00;0;;5
34054;2021-11-01;67388;58,33;1973;3;74;5;2015-11-06;2021-10-12 00:00:00;0;;5
34454;2021-11-02;67388;58,67;1761;3;75;5;2015-11-06;2021-10-12 00:00:00;0;;5
34844;2021-11-03;67388;61,29;1567;3;76;5;2015-11-06;2021-10-12 00:00:00;0;;5
35241;2021-11-04;67388;59,47;1852;3;77;5;2015-11-06;2021-10-12 00:00:00;0;;6
35637;2021-11-06;67388;59,71;1650;3;79;5;2015-11-06;2021-10-12 00:00:00;0;;6
36036;2021-11-07;67388;57,76;1485;3;80;5;2015-11-06;2021-10-12 00:00:00;0;;6
36436;2021-11-08;67388;61,42;1854;3;81;5;2015-11-06;2021-10-12 00:00:00;0;;6
36846;2021-11-09;67388;58,09;1630;3;82;5;2015-11-06;2021-10-12 00:00:00;0;;6
37244;2021-11-10;67388;47,3;1156;3;83;5;2015-11-06;2021-10-12 00:00:00;0;;6
37654;2021-11-11;67388;56,6;1497;3;84;5;2015-11-06;2021-10-12 00:00:00;0;;6
38056;2021-11-12;67388;54,16;1504;3;85;5;2015-11-06;2021-10-12 00:00:00;0;;6
38466;2021-11-13;67388;55,46;1635;3;86;5;2015-11-06;2021-10-12 00:00:00;0;;6
38868;2021-11-14;67388;56,46;1424;3;87;5;2015-11-06;2021-10-12 00:00:00;0;;6
39277;2021-11-15;67388;51,92;1502;3;88;5;2015-11-06;2021-10-12 00:00:00;0;2022-07-19 00:00:00;6
