Cow;Group_x;Station;Milk_amount_x;Time;Duration_x;Milking_days;Lactation_number_x;Birth_date_x;Last_insemination_date_x;Is_pregnant_x;Expected_calving_date_x;Milking_session;Konteineris;Eil. Nr.;Knygelė;Fat_lab;Protein_lab;Lactose_lab;Urea_lab;SSC_lab;PH_lab;Notes;Date_x;Age_x;index;Date_y;Milk_amount_y;Duration_y;Group_y;Lactation_number_y;Birth_date_y;Last_insemination_date_y;Is_pregnant_y;Expected_calving_date_y;Age_y;price
67388;1;3;16,35;2021-08-29 11:55:24;441;10;5;2015-11-06 00:00:00;;0;;Pietinis;8307;26;26;6,2;3,79;4,43;33;558;6,42;;2021-08-29 00:00:00;5;9587;2021-08-29 00:00:00;49,09;1252;1;5;2015-11-06 00:00:00;;0;;5;20,97775243
67388;1;3;22,14;2021-08-31 04:22:13;560;12;5;2015-11-06 00:00:00;;0;;Rytinis;5003;41;41;5,09;3,93;4,37;39;351;6,52;;2021-08-31 00:00:00;5;10440;2021-08-31 00:00:00;51,01;1375;1;5;2015-11-06 00:00:00;;0;;5;19,75528033
67388;1;3;17,25;2021-10-06 18:12:30;460;49;5;2015-11-06 00:00:00;;0;;Vakarinis;24434;59;59;4,44;3,12;4,55;22;39;6,57;;2021-10-06 00:00:00;5;24244;2021-10-07 00:00:00;60,44;1654;1;5;2015-11-06 00:00:00;;0;;5;18,3912876
67388;3;3;15,42;2021-10-18 19:35:34;420;61;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;Vakarinis;7896;6;6;4,07;3,17;4,59;31;38;6,7;;2021-10-18 00:00:00;5;28764;2021-10-19 00:00:00;56,86;1524;3;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;5;16,55549975
67388;3;3;25,13;2021-10-22 05:54:00;593;64;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;Rytinis;15176;45;45;3,14;3,15;4,57;25;12;6,64;;2021-10-22 00:00:00;5;30003;2021-10-22 00:00:00;59,57;1309;3;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;5;14,79971973
67388;3;3;20,23;2021-11-08 12:53:13;620;81;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;Pietinis;18629;62;62;5,57;3,15;4,57;35;38;6,61;;2021-11-08 00:00:00;6;36436;2021-11-08 00:00:00;61,42;1854;3;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;6;21,90099005
67388;3;5;25,06;2021-11-14 05:37:25;615;87;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;Rytinis;18620;72;72;3,6;3,18;4,59;23;26;6,6;;2021-11-14 00:00:00;6;38868;2021-11-14 00:00:00;56,46;1424;3;5;2015-11-06 00:00:00;2021-10-12 00:00:00;0;;6;15,2958609
67388;3;5;24,25;2021-11-25 05:36:39;647;98;5;2015-11-06 00:00:00;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;26987;23;23;3,64;3,45;4,66;20;197;6,65;;2021-11-25 00:00:00;6;43435;2021-11-25 00:00:00;54,64;1453;3;5;2015-11-06 00:00:00;2021-10-12 00:00:00;1;2022-07-19 00:00:00;6;15,8848042
67388;3;5;24,53;2021-11-26 05:36:24;606;99;5;2015-11-06 00:00:00;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Rytinis;24350;80;80;3,72;3,3;4,45;25;28;6,68;;2021-11-26 00:00:00;6;43853;2021-11-26 00:00:00;56,53;1386;3;5;2015-11-06 00:00:00;2021-10-12 00:00:00;1;2022-07-19 00:00:00;6;16,06950045
67388;5;5;14,51;2021-12-14 15:11:06;409;117;5;2015-11-06 00:00:00;2021-10-12 00:00:00;1;2022-07-19 00:00:00;Pietinis;17922;53;53;4,41;3,65;4,57;50;67;6,48;;2021-12-14 00:00:00;6;50429;2021-12-14 00:00:00;53,02;1298;5;5;2015-11-06 00:00:00;2021-10-12 00:00:00;1;2022-07-19 00:00:00;6;17,93838915
